race_id,row,col,exacta,exacta_reverse,quinella_place,verdict
2016-08-21_1_05,4,12,9999.9,9999.9,536.9,bet placed
2016-08-21_1_05,5,11,9999.9,9999.9,732.7,bet placed
2016-08-21_1_05,5,12,9999.9,9999.9,885.7,bet placed
2016-08-21_1_05,5,14,9999.9,9999.9,1002.1,bet placed
2016-08-21_1_05,6,12,9999.9,6296.3,366.9,bet placed
2016-08-21_1_05,8,14,9999.9,9088.8,555.2,bet placed
2016-08-21_1_05,11,5,9999.9,9999.9,732.7,bet placed
2016-08-21_1_05,11,12,9999.9,9999.9,491.0,bet placed
2016-08-21_1_05,12,4,9999.9,9999.9,536.9,bet placed
2016-08-21_1_05,12,5,9999.9,9999.9,885.7,bet placed
2016-08-21_1_05,12,11,9999.9,9999.9,491.0,bet placed
2016-08-21_1_05,12,14,9999.9,9999.9,884.1,bet placed
2016-08-21_1_05,14,5,9999.9,9999.9,1002.1,bet placed
2016-08-21_1_05,14,11,9999.9,9302.9,719.8,bet placed
2016-08-21_1_05,14,12,9999.9,9999.9,884.1,bet placed
2016-08-28_1_01,3,11,9999.9,2780.1,219.0,bet placed
2016-09-02_2_08,1,6,9999.9,3338.4,80.1,bet placed
2016-09-02_2_08,2,6,9999.9,697.3,30.1,bet placed
2016-09-02_2_08,4,10,9999.9,1748.7,277.3,bet placed
2016-09-02_2_08,7,4,9999.9,2369.2,308.1,bet placed
2016-09-02_2_08,7,10,9999.9,9999.9,355.5,bet placed
2016-09-02_2_08,10,7,9999.9,9999.9,355.5,bet placed
2016-09-02_3_02,2,14,9999.9,9999.9,677.3,bet placed
2016-09-02_3_02,4,14,9999.9,8903.8,805.3,bet placed
2016-09-02_3_02,5,13,9999.9,9999.9,1105.4,bet placed
2016-09-02_3_02,5,14,9999.9,9999.9,816.6,bet placed
2016-09-02_3_02,6,14,9999.9,9999.9,871.2,bet placed
2016-09-02_3_02,8,14,9999.9,5904.3,420.7,bet placed
2016-09-02_3_02,12,5,9999.9,4840.2,608.7,bet placed
2016-09-02_3_02,13,5,9999.9,9999.9,1105.4,bet placed
2016-09-02_3_02,14,2,9999.9,9999.9,677.3,bet placed
2016-09-02_3_02,14,5,9999.9,9999.9,816.6,bet placed
2016-09-02_3_02,14,6,9999.9,9999.9,871.2,bet placed
2016-09-03_1_08,12,7,9999.9,8639.9,553.3,bet placed
2016-09-09_2_05,2,8,9999.9,4895.0,174.6,bet placed
2016-09-09_2_05,3,8,9999.9,3543.6,124.8,bet placed
2016-09-09_2_08,6,7,9999.9,1549.5,115.5,bet placed
2016-09-09_2_08,8,7,9999.9,3514.0,386.8,bet placed
2016-09-10_1_01,2,12,9999.9,6413.4,310.0,bet placed
2016-09-10_1_01,4,12,9999.9,6690.7,276.3,bet placed
2016-09-10_1_02,7,12,9999.9,9999.9,505.1,bet placed
2016-09-10_1_02,9,12,9999.9,6325.5,409.4,bet placed
2016-09-10_1_02,12,7,9999.9,9999.9,505.1,bet placed
2016-09-10_2_06,9,1,9999.9,6658.1,46.0,bet placed
2016-09-11_1_06,3,7,9999.9,6485.6,651.0,bet placed
2016-09-11_1_06,4,7,9999.9,9480.7,727.1,bet placed
2016-09-11_1_06,4,13,9999.9,8329.7,516.5,bet placed
2016-09-11_1_06,6,8,9999.9,8263.7,709.2,bet placed
2016-09-11_1_06,6,13,9999.9,7449.1,288.8,bet placed
2016-09-11_1_06,7,8,9999.9,9999.9,788.9,bet placed
2016-09-11_1_06,7,13,9999.9,9999.9,1177.4,bet placed
2016-09-11_1_06,8,7,9999.9,9999.9,788.9,bet placed
2016-09-11_1_06,10,7,9999.9,7817.7,686.1,bet placed
2016-09-11_1_06,10,13,9999.9,9602.9,498.2,bet placed
2016-09-11_1_06,12,8,9999.9,6244.8,767.9,bet placed
2016-09-11_1_06,13,7,9999.9,9999.9,1177.4,bet placed
2016-09-11_1_06,13,8,9999.9,8224.6,495.9,bet placed
2016-09-11_3_01,2,11,9999.9,9999.9,697.8,bet placed
2016-09-11_3_01,3,11,9999.9,9999.9,786.3,bet placed
2016-09-11_3_01,7,3,9999.9,6991.0,533.5,bet placed
2016-09-11_3_01,11,2,9999.9,9999.9,697.8,bet placed
2016-09-11_3_01,11,3,9999.9,9999.9,786.3,bet placed
2016-09-23_2_05,1,5,9999.9,2745.7,206.4,bet placed
2016-09-23_3_01,4,9,9999.9,9999.9,535.6,bet placed
2016-09-23_3_01,9,4,9999.9,9999.9,535.6,bet placed
2016-09-23_3_01,12,2,9999.9,5811.2,441.3,bet placed
2016-09-23_3_02,2,12,9999.9,9999.9,800.0,bet placed
2016-09-23_3_02,3,12,9999.9,7512.6,775.0,bet placed
2016-09-23_3_02,4,12,9999.9,9234.2,609.9,bet placed
2016-09-23_3_02,6,12,9999.9,4581.3,499.3,bet placed
2016-09-23_3_02,12,2,9999.9,9999.9,800.0,bet placed
2016-09-23_3_03,1,12,9999.9,9999.9,351.1,bet placed
2016-09-23_3_03,2,6,9999.9,9999.9,371.1,bet placed
2016-09-23_3_03,2,7,9999.9,9999.9,847.5,bet placed
2016-09-23_3_03,2,11,9999.9,9999.9,425.1,bet placed
2016-09-23_3_03,2,12,9999.9,9999.9,781.3,bet placed
2016-09-23_3_03,3,7,9999.9,9167.0,580.7,bet placed
2016-09-23_3_03,3,12,9999.9,9999.9,636.1,bet placed
2016-09-23_3_03,4,12,9999.9,9004.0,647.2,bet placed
2016-09-23_3_03,5,7,9999.9,9999.9,1794.3,bet placed
2016-09-23_3_03,5,11,9999.9,9999.9,1406.3,bet placed
2016-09-23_3_03,5,12,9999.9,9999.9,867.2,bet placed
2016-09-23_3_03,6,2,9999.9,9999.9,371.1,bet placed
2016-09-23_3_03,6,7,9999.9,9999.9,867.2,bet placed
2016-09-23_3_03,6,11,9999.9,9999.9,903.4,bet placed
2016-09-23_3_03,6,12,9999.9,9999.9,2477.8,bet placed
2016-09-23_3_03,7,1,9999.9,7944.7,516.2,bet placed
2016-09-23_3_03,7,2,9999.9,9999.9,847.5,bet placed
2016-09-23_3_03,7,5,9999.9,9999.9,1794.3,bet placed
2016-09-23_3_03,7,6,9999.9,9999.9,867.2,bet placed
2016-09-23_3_03,7,11,9999.9,9999.9,978.1,bet placed
2016-09-23_3_03,7,12,9999.9,9999.9,2797.5,bet placed
2016-09-23_3_03,9,12,9999.9,2712.0,361.8,bet placed
2016-09-23_3_03,11,2,9999.9,9999.9,425.1,bet placed
2016-09-23_3_03,11,5,9999.9,9999.9,1406.3,bet placed
2016-09-23_3_03,11,6,9999.9,9999.9,903.4,bet placed
2016-09-23_3_03,11,7,9999.9,9999.9,978.1,bet placed
2016-09-23_3_03,11,12,9999.9,9999.9,414.9,bet placed
2016-09-23_3_03,12,1,9999.9,9999.9,351.1,bet placed
2016-09-23_3_03,12,2,9999.9,9999.9,781.3,bet placed
2016-09-23_3_03,12,3,9999.9,9999.9,636.1,bet placed
2016-09-23_3_03,12,5,9999.9,9999.9,867.2,bet placed
2016-09-23_3_03,12,6,9999.9,9999.9,2477.8,bet placed
2016-09-23_3_03,12,7,9999.9,9999.9,2797.5,bet placed
2016-09-23_3_03,12,11,9999.9,9999.9,414.9,bet placed
2016-09-23_3_03,13,7,9999.9,9979.8,626.9,bet placed
2016-09-23_3_03,14,7,9999.9,8202.0,405.9,bet placed
2016-09-23_3_03,14,12,9999.9,9250.7,302.9,bet placed
2016-09-23_3_07,3,12,9999.9,9999.9,537.8,bet placed
2016-09-23_3_07,3,13,9999.9,9999.9,732.4,bet placed
2016-09-23_3_07,4,13,9999.9,5319.5,260.5,bet placed
2016-09-23_3_07,5,13,9999.9,7826.8,397.6,bet placed
2016-09-23_3_07,6,13,9999.9,9999.9,620.7,bet placed
2016-09-23_3_07,7,13,9999.9,3561.0,241.5,bet placed
2016-09-23_3_07,8,13,9999.9,9999.9,649.7,bet placed
2016-09-23_3_07,9,13,9999.9,7122.1,343.9,bet placed
2016-09-23_3_07,10,3,9999.9,9726.6,568.9,bet placed
2016-09-23_3_07,12,3,9999.9,9999.9,537.8,bet placed
2016-09-23_3_07,13,3,9999.9,9999.9,732.4,bet placed
2016-09-23_3_07,13,6,9999.9,9999.9,620.7,bet placed
2016-09-23_3_07,13,8,9999.9,9999.9,649.7,bet placed
2016-09-24_1_01,1,6,9999.9,6784.5,361.1,bet placed
2016-09-24_1_01,1,8,9999.9,9999.9,507.5,bet placed
2016-09-24_1_01,8,1,9999.9,9999.9,507.5,bet placed
2016-09-24_2_04,3,7,9999.9,4712.7,35.0,bet placed
2016-09-24_2_08,2,6,9999.9,4066.2,106.4,bet placed
2016-09-24_2_08,2,7,9999.9,2517.2,83.8,bet placed
2016-09-24_2_08,9,6,9999.9,2093.5,115.6,bet placed
2016-09-25_1_01,3,11,9999.9,7835.1,654.0,bet placed
2016-09-25_1_06,3,11,9999.9,7188.8,505.1,bet placed
2016-09-25_1_06,4,11,9999.9,3974.2,580.6,bet placed
2016-09-25_1_11,1,13,9999.9,9999.9,1086.7,bet placed
2016-09-25_1_11,3,13,9999.9,9999.9,1132.9,bet placed
2016-09-25_1_11,12,3,9999.9,8715.3,756.3,bet placed
